country,region,income_level,subsample,year,flfp,unemployment,female_non_agri,avg_weekly_hours
Bolivia,LCN,Lower middle income,All,2000,0.6205114126205444,0.05778843536973,0.6649729609489441,46.30368423461914
Bolivia,LCN,Lower middle income,Rural,2000,0.7392687201499939,0.01897451281547546,0.1822895556688309,43.9178466796875
Bolivia,LCN,Lower middle income,High Education,2000,0.5194020867347717,0.07214751839637756,0.9532254338264464,45.05707931518555
Bolivia,LCN,Lower middle income,Low Education,2000,0.6956359148025513,0.04712193459272385,0.502159833908081,47.1776008605957
Bolivia,LCN,Lower middle income,Urban,2000,0.567135751247406,0.08077337592840195,0.9696829319000244,47.81217575073242
Bolivia,LCN,Lower middle income,Female,2000,0.6205114126205444,0.07422692328691483,0.6649729609489441,43.60205459594727
Bolivia,LCN,Lower middle income,Young,2000,0.442643791437149,0.09787169098854064,0.6255015134811401,43.36639022827148
Bolivia,LCN,Lower middle income,Old,2000,0.7149115204811096,0.0446966141462326,0.6770875453948975,47.21213150024414
Bolivia,LCN,Lower middle income,High Education,2001,0.603771984577179,0.07150337845087051,0.8623773455619812,41.01803588867188
Bolivia,LCN,Lower middle income,Urban,2001,0.6221051812171936,0.07493643462657928,0.8946244120597839,44.08087539672852
Bolivia,LCN,Lower middle income,Female,2001,0.6654254794120789,0.05579829216003418,0.6208309531211853,38.02552032470703
Bolivia,LCN,Lower middle income,Low Education,2001,0.7083792090415955,0.03149810060858727,0.4720951318740845,42.49919891357422
Bolivia,LCN,Lower middle income,Young,2001,0.5304773449897766,0.07371942698955536,0.6002617478370667,37.91870880126953
Bolivia,LCN,Lower middle income,Rural,2001,0.7558531761169434,0.00816727988421917,0.1832001954317093,38.52841567993164
Bolivia,LCN,Lower middle income,Old,2001,0.736409604549408,0.04008978605270386,0.628345787525177,43.2949104309082
Bolivia,LCN,Lower middle income,All,2001,0.6654254794120789,0.04929192364215851,0.6208309531211853,41.85678100585938
Bolivia,LCN,Lower middle income,Urban,2002,0.5846379399299622,0.0585162565112114,0.9652804732322692,46.63594818115234
Bolivia,LCN,Lower middle income,Young,2002,0.4542652368545532,0.06084270402789116,0.6124990582466125,39.61759185791016
Bolivia,LCN,Lower middle income,Low Education,2002,0.67153167724609375,0.02610901929438114,0.5091630220413208,45.16911315917969
Bolivia,LCN,Lower middle income,Old,2002,0.7148973941802979,0.03283924981951714,0.6719087362289429,45.83962631225586
